id,first_name,last_name,email,gender,ip_address,is_active
1,John,Doe,john.doe@example.com,Male,192.168.1.1,true
2,Jane,Smith,jane.smith@example.com,Female,192.168.1.2,true
3,Bob,Johnson,bob.johnson@example.com,Male,192.168.1.3,false
4,Alice,Williams,alice.w@example.com,Female,192.168.1.4,true
5,Charlie,Brown,charlie@example.com,Male,192.168.1.5,false
6,Eva,Davis,eva.davis@example.com,Female,192.168.1.6,true
7,Frank,Miller,frank.m@example.com,Male,192.168.1.7,false
8,Grace,Wilson,grace.w@example.com,Female,192.168.1.8,true
9,Henry,Moore,henry@example.com,Male,192.168.1.9,false
10,Ivy,Taylor,ivy.taylor@example.com,Female,192.168.1.10,true
